      --------Part 1--------   --------Part 2--------   --------Delta---------
Day       Time   Rank  Score       Time   Rank  Score       Time   Rank  Score
 25   21:41:08   9930      0       >24h  11628      0       >24h   1698      0
 24       >24h  10662      0       >24h  10545      0       >24h   -117      0
 23   11:03:44   6625      0       >24h   9711      0       >24h   3086      0
 22   00:12:23    786      0       >24h  16397      0       >24h  15611      0
 21   00:09:47    631      0   01:05:40   1479      0   00:55:53    848      0
 20   02:08:44   3965      0   16:09:08  13031      0   14:00:24   9066      0
 19   02:03:49    823      0   02:27:18    904      0   00:23:29     81      0
 18   02:16:02   1800      0   02:31:38   1878      0   00:15:36     78      0
 17   00:37:52   2566      0   00:51:06   2498      0   00:13:14    -68      0
 16   01:13:16   2339      0   01:20:16   1797      0   00:07:00   -542      0
 15   01:57:44   6183      0   02:08:27   4186      0   00:10:43  -1997      0
 14   00:25:13   4415      0   00:44:43   1872      0   00:19:30  -2543      0
 13   00:10:15    388      0   00:16:46    569      0   00:06:31    181      0
 12       >24h  32752      0       >24h  30959      0       >24h  -1793      0
 11       >24h  40413      0       >24h  40212      0       >24h   -201      0
 10   00:08:29   1083      0   00:15:05    901      0   00:06:36   -182      0
  9   00:10:01   1655      0   00:37:13   2672      0   00:27:12   1017      0
  8   00:10:33   2151      0   00:27:35    338      0   00:17:02  -1813      0
  7   00:04:41   1265      0   00:08:46   1331      0   00:04:05     66      0
  6   00:21:32   6974      0   00:32:09   3835      0   00:10:37  -3139      0
  5   01:07:22   7885      0   01:10:43   5940      0   00:03:21  -1945      0
  4   00:11:04    251      0   00:16:44    348      0   00:05:40     97      0
  3   00:05:06    545      0   00:15:07    394      0   00:10:01   -151      0
  2   00:03:38   1659      0   00:06:47   2047      0   00:03:09    388      0
  1   12:23:05  69018      0   12:26:39  59641      0   00:03:34  -9377      0
