      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:13:47    424      0   00:13:57    367      0
 24   00:39:30    511      0   00:49:35    578      0
 23   01:45:17   2802      0   01:50:56   2643      0
 22   00:30:23    385      0   02:20:36    787      0
 21   00:10:57    892      0   00:43:40   1160      0
 20   03:28:43   4332      0   03:38:20   3833      0
 19   01:24:11    707      0   04:07:57   1794      0
 18   00:37:52   3545      0   01:29:05   2695      0
 17   00:58:36   1316      0   03:20:28   2018      0
 16   01:22:05   1045      0   04:40:30   1803      0
 15   00:46:53   3021      0   01:19:37   1988      0
 14   00:30:59   1903      0   00:34:15   1478      0
 13   00:11:14    217      0   00:38:15   1748      0
 12   00:31:26   2167      0   00:35:08   1924      0
 11   00:45:21   4022      0   00:50:31   1988      0
 10   00:06:54    318      0   00:15:42    311      0
  9   00:08:47    198      0   00:14:31    115      0
  8   00:24:34   4252      0   00:30:12   2189      0
  7   00:18:24    574      0   00:21:18    435      0
  6   00:03:29    809      0   00:05:09   1231      0
  5   01:44:42  16539      0   01:46:47  15448      0
  4   00:04:09    859      0   00:05:28    559      0
  3   00:03:54    246      0   00:06:32    204      0
  2   00:06:06    806      0   00:12:41   1634      0
  1   00:04:20   2131      0   00:05:36   1622      0
