      --------Part 1--------   --------Part 2--------   --------Delta---------
Day       Time   Rank  Score       Time   Rank  Score       Time   Rank  Score
 25       >24h   7610      0       >24h   5455      0       >24h  -2155      0
 24       >24h   6394      0       >24h   6307      0       >24h    -87      0
 23       >24h   7390      0       >24h   7352      0       >24h    -38      0
 22       >24h   6151      0       >24h   5990      0       >24h   -161      0
 21       >24h   8137      0       >24h   7960      0       >24h   -177      0
 20       >24h   8959      0       >24h   8408      0       >24h   -551      0
 19       >24h   9891      0       >24h   7540      0       >24h  -2351      0
 18       >24h  10425      0       >24h  10286      0       >24h   -139      0
 17       >24h  10908      0       >24h  10724      0       >24h   -184      0
 16       >24h  11869      0       >24h  11444      0       >24h   -425      0
 15       >24h  11297      0       >24h  11139      0       >24h   -158      0
 14       >24h  13697      0       >24h  12808      0       >24h   -889      0
 13       >24h  12850      0       >24h  12688      0       >24h   -162      0
 12       >24h  15147      0       >24h  13100      0       >24h  -2047      0
 11       >24h  14909      0       >24h  14721      0       >24h   -188      0
 10       >24h  17406      0       >24h  16775      0       >24h   -631      0
  9       >24h  16261      0       >24h  15944      0       >24h   -317      0
  8       >24h  18707      0       >24h  17648      0       >24h  -1059      0
  7       >24h  19814      0       >24h  19109      0       >24h   -705      0
  6       >24h  28522      0       >24h  27280      0       >24h  -1242      0
  5       >24h  35870      0       >24h  30426      0       >24h  -5444      0
  4       >24h  36748      0       >24h  35379      0       >24h  -1369      0
  3       >24h  44259      0       >24h  40678      0       >24h  -3581      0
  2       >24h  54218      0       >24h  48861      0       >24h  -5357      0
  1       >24h  84839      0       >24h  69357      0       >24h -15482      0
